source,brand,name,former_price,current_price,discount,product_link,page
,Ray-Ban,RB5458D,,210.0,,https://www.framesdirect.com/ray-ban-rb5458d-eyeglasses?color=1,4
,Ray-Ban,RB5457D,,210.0,,https://www.framesdirect.com/ray-ban-rb5457d-eyeglasses?color=10063082,4
,Ray-Ban,RB5456,,186.0,,https://www.framesdirect.com/ray-ban-rb5456-eyeglasses?color=10063079,4
,Ray-Ban,RB5455F,,186.0,,https://www.framesdirect.com/ray-ban-rb5455f-eyeglasses?color=1,4
,Ray-Ban,RB5455,,186.0,,https://www.framesdirect.com/ray-ban-rb5455-eyeglasses?color=10063069,4
,Ray-Ban,RB3793V,,222.0,,https://www.framesdirect.com/ray-ban-rb3793v-eyeglasses?color=10063054,4
,Ray-Ban,RB3792V,,195.0,,https://www.framesdirect.com/ray-ban-rb3792v-eyeglasses?color=10063052,4
,Oakley,Pitchman R (Low Bridge Fit),,255.0,,https://www.framesdirect.com/oakley-pitchman-r-low-bridge-fit-eyeglasses?color=10063016,4
,Oakley,Paracord X,,242.0,,https://www.framesdirect.com/oakley-paracord-x-eyeglasses?color=10063030,4
,Oakley,Holbrook,,187.0,,https://www.framesdirect.com/oakley-holbrook-eyeglasses?color=10063018,4
,Oakley,Enigma Echo,,255.0,,https://www.framesdirect.com/oakley-enigma-echo-eyeglasses?color=10063035,4
,Oakley,BMNG ARC,,242.0,,https://www.framesdirect.com/oakley-bmng-arc-eyeglasses?color=10063024,4
,Costa,Ocean Ridge 840,,141.0,,https://www.framesdirect.com/costa-ocean-ridge-840-eyeglasses?color=10063008,4
,Costa,Ocean Ridge 430,,211.0,,https://www.framesdirect.com/costa-ocean-ridge-430-eyeglasses?color=10063011,4
,Costa,Bimini Road 640,,211.0,,https://www.framesdirect.com/costa-bimini-road-640-eyeglasses?color=10062998,4
,Ray-Ban,RB2221VF,,210.0,,https://www.framesdirect.com/ray-ban-rb2221vf-eyeglasses?color=1,4
,Ray-Ban,RB8777D,,277.0,,https://www.framesdirect.com/ray-ban-rb8777d-eyeglasses?color=10062884,4
,Ray-Ban,RB8776D,,277.0,,https://www.framesdirect.com/ray-ban-rb8776d-eyeglasses?color=10062882,4
,Ray-Ban,RB7683V,,344.0,,https://www.framesdirect.com/ray-ban-rb7683v-eyeglasses?color=1,4
,Ray-Ban,RB7553,,276.0,,https://www.framesdirect.com/ray-ban-rb7553-eyeglasses?color=10062872,4
,Ray-Ban,RB7552,,276.0,,https://www.framesdirect.com/ray-ban-rb7552-eyeglasses?color=10062869,4
,Ray-Ban,RB7551,,263.0,,https://www.framesdirect.com/ray-ban-rb7551-eyeglasses?color=10062865,4
,Ray-Ban,RB7550,,263.0,,https://www.framesdirect.com/ray-ban-rb7550-eyeglasses?color=10062860,4
,Ray-Ban,RB7260F,,210.0,,https://www.framesdirect.com/ray-ban-rb7260f-eyeglasses?color=10062849,5
,Ray-Ban,RB7258F,,176.0,,https://www.framesdirect.com/ray-ban-rb7258f-eyeglasses?color=10062978,5
,Ray-Ban,RB7257F,,176.0,,https://www.framesdirect.com/ray-ban-rb7257f-eyeglasses?color=10062974,5
,Ray-Ban,RB7256F,,210.0,,https://www.framesdirect.com/ray-ban-rb7256f-eyeglasses?color=10062971,5
,Ray-Ban,RB7248D,,220.0,,https://www.framesdirect.com/ray-ban-rb7248d-eyeglasses?color=10062840,5
,Ray-Ban,RB7247D,,236.0,,https://www.framesdirect.com/ray-ban-rb7247d-eyeglasses?color=10062838,5
,Ray-Ban,RB7241D,,220.0,,https://www.framesdirect.com/ray-ban-rb7241d-eyeglasses?color=10062967,5
,Ray-Ban,RB7217,,189.0,,https://www.framesdirect.com/ray-ban-rb7217-eyeglasses?color=10062835,5
,Ray-Ban,RB7216,,222.0,,https://www.framesdirect.com/ray-ban-rb7216-eyeglasses?color=10062828,5
,Ray-Ban,RB6538D,,189.0,,https://www.framesdirect.com/ray-ban-rb6538d-eyeglasses?color=10062962,5
,Ray-Ban,RB6534,,189.0,,https://www.framesdirect.com/ray-ban-rb6534-eyeglasses?color=10062956,5
,Ray-Ban,RB6533,,189.0,,https://www.framesdirect.com/ray-ban-rb6533-eyeglasses?color=10062952,5
,Ray-Ban,RB6532,,249.0,,https://www.framesdirect.com/ray-ban-rb6532-eyeglasses?color=10062948,5
,Ray-Ban,RB6524D,,220.0,,https://www.framesdirect.com/ray-ban-rb6524d-eyeglasses?color=10062944,5
,Ray-Ban,RB6523D,,220.0,,https://www.framesdirect.com/ray-ban-rb6523d-eyeglasses?color=10062942,5
,Ray-Ban,RB6494,,237.0,,https://www.framesdirect.com/ray-ban-rb6494-eyeglasses?color=10062806,5
,Ray-Ban,RB6418D,,236.0,,https://www.framesdirect.com/ray-ban-rb6418d-eyeglasses?color=10062939,5
,Ray-Ban,RB5440F,,189.0,,https://www.framesdirect.com/ray-ban-rb5440f-eyeglasses?color=1,5
,Ray-Ban,RB5345D,,261.0,,https://www.framesdirect.com/ray-ban-rb5345d-eyeglasses?color=10062771,5
,Ray-Ban,RB5279F,,222.0,,https://www.framesdirect.com/ray-ban-rb5279f-eyeglasses,5
,Ray-Ban,RB5184F,,212.0,,https://www.framesdirect.com/ray-ban-rb5184f-eyeglasses?color=10062764,5
,Ray-Ban,RB4451V,,237.0,,https://www.framesdirect.com/ray-ban-rb4451v-eyeglasses?color=10062911,5
,Ray-Ban,RB4379VD,,220.0,,https://www.framesdirect.com/ray-ban-rb4379vd-eyeglasses?color=10062906,5
,Ray-Ban,RB4340V,,210.0,,https://www.framesdirect.com/ray-ban-rb4340v-eyeglasses?color=1,5
,Ray-Ban,RB3768V,,195.0,,https://www.framesdirect.com/ray-ban-rb3768v-eyeglasses?color=1,6
,Ray-Ban,RB3767V,,195.0,,https://www.framesdirect.com/ray-ban-rb3767v-eyeglasses?color=10062748,6
,Ray-Ban,RB2221V Optics,,210.0,,https://www.framesdirect.com/ray-ban-rb2221v-optics-eyeglasses?color=10062743,6
,Oakley,Versafuse SS,,276.0,,https://www.framesdirect.com/oakley-versafuse-ss-eyeglasses?color=10062737,6
,Oakley,Versafuse SQ,,276.0,,https://www.framesdirect.com/oakley-versafuse-sq-eyeglasses?color=10062739,6
,Oakley,Tailback 2.0,,500.0,,https://www.framesdirect.com/oakley-tailback-2.0-eyeglasses?color=10062691,6
,Oakley,Socket 5.0,,227.0,,https://www.framesdirect.com/oakley-socket-5.0-eyeglasses?color=10062686,6
,Oakley,Shackle,,242.0,,https://www.framesdirect.com/oakley-shackle-eyeglasses?color=10062729,6
,Oakley,Paracord,,242.0,,https://www.framesdirect.com/oakley-paracord-eyeglasses?color=10062725,6
,Oakley,Leadline,,227.0,,https://www.framesdirect.com/oakley-leadline-eyeglasses?color=10062707,6
,Oakley,Hex Jector (Low Bridge Fit),,187.0,,https://www.framesdirect.com/oakley-hex-jector-low-bridge-fit-eyeglasses?color=10062706,6
,Oakley,Hex Jector,,187.0,,https://www.framesdirect.com/oakley-hex-jector-eyeglasses?color=10062693,6
,Oakley,Foil SQ,,172.0,,https://www.framesdirect.com/oakley-foil-sq-eyeglasses?color=10062679,6
,Oakley,Foil RQ 0.5,,172.0,,https://www.framesdirect.com/oakley-foil-rq-0.5-eyeglasses?color=10062683,6
,Versace,VE3394D,316.0,221.2,30%,https://www.framesdirect.com/versace-ve3394d-eyeglasses?color=10061606,6
,Versace,VE3392F,316.0,221.2,30%,https://www.framesdirect.com/versace-ve3392f-eyeglasses?color=2,6
,Versace,VE3392,316.0,221.2,30%,https://www.framesdirect.com/versace-ve3392-eyeglasses?color=10061597,6
,Versace,VE3391U,316.0,221.2,30%,https://www.framesdirect.com/versace-ve3391u-eyeglasses?color=10061592,6
,Versace,VE3390U,406.0,284.2,30%,https://www.framesdirect.com/versace-ve3390u-eyeglasses?color=10061588,6
,Versace,VE3389U,406.0,284.2,30%,https://www.framesdirect.com/versace-ve3389u-eyeglasses?color=10061584,6
,Versace,VE3388U,376.0,263.2,30%,https://www.framesdirect.com/versace-ve3388u-eyeglasses?color=10061580,6
,Versace,VE3387U,346.0,242.2,30%,https://www.framesdirect.com/versace-ve3387u-eyeglasses?color=10061577,6
,Versace,VE3386D,300.0,210.0,30%,https://www.framesdirect.com/versace-ve3386d-eyeglasses?color=2,6
